Region 1;Region 2;dist
BN;SC;556
SC;BN;556
BN;PA-NA;917
PA-NA;BN;917
LP;PA-NA;1015
PA-NA;LP;1015
LP;BN;597
BN;LP;597
LP;OR;214
OR;LP;214
LP;CB;249
CB;LP;249
CB;BN;922
BN;CB;922
CB;OR;214
OR;CB;214
CB;PT;694
PT;CB;694
CB;CH;330
CH;CB;330
CB;SC;209
SC;CB;209
SC;CH;479
CH;SC;479
OR;PT;403
PT;OR;403
PT;CH;155
CH;PT;155
PT;TJ;311
TJ;PT;311
CH;TJ;378
TJ;CH;378
TJ;TJ-EP;90.7
TJ-EP;TJ;90.7
TJ;TJ-OC;81.7
TJ-OC;TJ;81.7
TJ-OC;TJ-BE;160
TJ-BE;TJ-OC;160
BN;BN-IT;334
BN-IT;BN;334
BN;BN-YC;180
BN-YC;BN;180
SC;SC-CC;332
SC-CC;SC;270
SC;SC-CQ;460
SC-CQ;SC;460
SC-CQ;SC-GB;562
SC-GB;SC-CQ;562
SC;SC-MI;267
SC-MI;SC;267
SC-MI;SC-VL;358
SC-VL;SC-MI;358
SC-VL;SC-AS;289
SC-AS;SC-VL;289
SC;SC-VC;240
SC-VC;SC;240
TJ-OC;SC-CC;356
SC-CC;TJ-OC;356
SC;TJ;642
TJ;SC;642
